	target	clause	context	verb	embedding	factive	tense	genre
10	) , которое , однако , надо понимать более в фигуральном , нежели в прямом , смысле , ибо самосознание имеет непосредственный характер .	более в фигуральном , нежели в прямом , смысле , ибо самосознание имеет непосредственный характер .	['Яснее у\nАвгустина (&#171;О свободном произволении&#187;, 2,\n3).', 'Затем у Декарта (&#171;Начала философии&#187;,\n4, 190), а в совершенно законченной форме &#151; у\nЛокка.']	понимать	modals	True		philosophy
11	Но под этим , конечно , надо понимать не одни только окончательные , тотчас же в дело переходящие волевые акты и формальные решения вместе с вытекающими из них поступками ; кто только способен улавливать сущность , несмотря на различные видоизменения степени и рода , тот не замедлит отнести к проявлениям воли также всякое вожделение , стремление , желание , потребность , тоску , надежду , любовь , радость , ликование ит.п. , равно как нежелание или неохоту , всякое отвращение , уклонение , боязнь , гнев , ненависть , печаль , страдание , словом , все аффекты и страсти .	не одни только окончательные , тотчас же в дело переходящие волевые акты и формальные решения вместе с вытекающими из них поступками ; кто только способен улавливать сущность , несмотря на различные видоизменения степени и рода , тот не замедлит отнести к проявлениям воли также всякое вожделение , стремление , желание , потребность , тоску , надежду , любовь , радость , ликование ит.п. , равно как нежелание или неохоту , всякое отвращение , уклонение , боязнь , гнев , ненависть , печаль , страдание , словом , все аффекты и страсти .	['Ответ: непременно как\nнечто волящее.', 'Всякий при наблюдении\nсобственного самосознания скоро заметит, что\nпредметом последнего во всех случаях бывает\nсобственное хотение.']	понимать	modals	True		philosophy
12	А то природное , простое , даже наивное самосознание просто не в состоянии понять подобных вопросов , не то что ответить на них .	подобных вопросов , не то что ответить на них .	['Мы оказались бы в большом заблуждении, если\nбы стали ожидать от самосознания основательных и\nглубоких разъяснений насчет причинности вообще и\nмотивации в частности, а также насчет\nнеобходимости, с какой, может быть, проявляется та\nи другая.', 'Ведь самосознание это, как оно присуще\nвсем людям, есть нечто слишком простое и\nограниченное, чтобы оно могло подавать свой голос\nпри рассмотрении такого рода понятий: эти понятия\nпочерпнуты скорее из чистого рассудка,\nнаправленного вовне, и могут быть представлены на\nсуд только рефлектирующего разума.']	понять	negation	True		philosophy
13	А между тем только сознание , лежащее в основе приведенного рассуждения , и заставляет этого непредубежденного человека , т.е.чуждого философии ( который , однако , при этом может быть великим ученым в других областях ) , считать свободу воли за нечто вполне непосредственно достоверное , так что он признает ее несомненной истиной и , собственно , совсем не в состоянии думать , будто философы серьезно в ней сомневаются , & # 151 ; он полагает в сердце своем , что весь разговор о ней простое состязание в школьной диалектике и , в сущности , только шутка .	, будто философы серьезно в ней сомневаются , & # 151 ; он полагает в сердце своем , что весь разговор о ней простое состязание в школьной диалектике и , в сущности , только шутка .	['Показание это, конечно,\nвполне верно и справедливо: только волевой акт уже\nим предполагается, а именно оно принимает, что воля\nуже решилась, так что, значит, отсюда ничего нельзя\nизвлечь по вопросу ее собственной свободы.', 'Ибо\nздесь совсем не утверждается о зависимости либо\nнезависимости совершения самого волевого акта, а\nлишь о следствиях этого акта, коль скоро он\nнаступил, или, точнее говоря, об его непременном\nпроявлении в виде телесного действия.']	думать	negation	False		philosophy
14	Хотя поступки его зависят исключительно от его воли , но теперь желательно знать , от чего же зависит самая его воля : не связана она никакой зависимостью или связана чем-нибудь ?	, от чего же зависит самая его воля : не связана она никакой зависимостью или связана чем-нибудь ?	['А между тем\nтолько сознание, лежащее в основе приведенного\nрассуждения, и заставляет этого непредубежденного\nчеловека, т.е.чуждого философии\n(который, однако, при этом может быть великим\nученым в других областях), считать свободу воли за\nнечто вполне непосредственно достоверное, так что\nон признает ее несомненной истиной и, собственно,\nсовсем не в состоянии думать, будто философы\nсерьезно в ней сомневаются, &#151; он полагает в\nсердце своем, что весь разговор о ней простое\nсостязание в школьной диалектике и, в сущности,\nтолько шутка.', 'Но именно благодаря тому, что\nдаваемая этим сознанием и бесспорно имеющая большое\nзначение уверенность до такой степени всегда у нас\nпод руками, и благодаря еще тому, что человек, как\nсущество прежде всего и главным образом\nпрактическое, а не теоретическое, гораздо яснее\nсознает активную сторону своих волевых актов,\nт.е.их действие, нежели пассивную,\nт.е.их зависимость, &#151;\nоказывается трудным растолковать профану в\nфилософии подлинный смысл нашей проблемы и довести\nдо его понимания, что вопрос идет теперь не о\nследствиях, а об основаниях каждого\nего хотения.']	знать	modals	True		philosophy
15	Вот почему спрашивать его , мог ли бы он хотеть и иначе , нежели он хочет , значит спрашивать , не мог ли бы он также и быть другим , чем он есть , & # 151 ; а этого он не знает .	.	['При этом,\nоднако, неуверенность и колебания в его объяснениях\nдостаточно показывают, что его непосредственное\nсамосознание безмолвствует перед правильно понятым\nвопросом, тогда как раньше, при ошибочном понимании\nпоследнего, оно тотчас давало готовый ответ. Факт\nэтот в конечном итоге объясняется тем, что воля\nчеловека есть его подлинное &#171;я&#187;, истинное\nядро его существа: она составляет поэтому основу\nего сознания, как нечто абсолютно данное и сущее,\nдальше чего он идти не может.', 'Ибо он сам есть, как\nон хочет, а хочет, как он есть.']	знает	negation	True	pres	philosophy
16	Поставленный вопрос предложен , стало быть , на решение некомпетентного суда , & # 151 ; его даже совсем нельзя , в его истинном смысле , предъявлять на это суд , ибо последний его не понимает .	.	['Но\nвсе, что мы извлекаем из этого внутреннего\nвосприятия воли, сводится, по вышесказанному, к\nхотению и нехотению вместе с пресловутой\nуверенностью: &#171;Что я хочу, то я могу\nделать&#187;, &#151;\nуверенностью, которая, собственно, означает:\n&#171;Я вижу, что всякий акт моей воли тотчас\n(совершенно непостижимым для меня образом)\nвыражается как действие моего тела, что, в\nсущности, для познающего субъекта есть положение\nэмпирическое.', 'Больше этого здесь ничего нельзя\nнайти.']	понимает	negation	True	pres	philosophy
17	Эта относительная свобода , конечно , и есть в qsymnqrh то , что образованные , но не глубоко думающие люди разумеют под свободой воли , которая якобы составляет явное превосходство человека над животным .	люди разумеют под свободой воли , которая якобы составляет явное превосходство человека над животным .	['Человек, благодаря\nсвоей мыслительной способности, подмечая всякие\nмотивы, действующие на его волю, может представлять\nсебе эти мотивы в любом порядке, попеременно и\nповторно: он преподносит их своей воле, что и\nназывается &#171;обдумывать&#187;; он\nспособен к взвешиванию, и в силу этой способности\nдля него открыт гораздо больший выбор,\nнежели какой возможен для животного.', 'Это делает\nего, конечно, относительно свободным, именно\nсвободным от непосредственного принуждения\nнаглядных, наличных, мотивирующих его волю\nобъектов, принуждения, какому безусловно подчинено\nживотное; он, напротив, ставит свои решения\nнезависимо от наличных объектов, сообразно мыслям,\nкоторые и служат его мотивами.']	думающие	negation	False	pres	philosophy
18	Как катящийся шар приводит в движение покоящийся , с такой же необходимостью должна разряжаться и лейденская банка при прикосновении к ней другой руки , & # 151 ; с такой же необходимостью должен и мышьяк убивать все живое , а зерно , которое в сухом виде сохранялось тысячелетия , не обнаруживая никакого изменения , перенесенное в надлежащую почву , подвергнутое влиянию воздуха , света , теплоты , влажности , должно прорасти , вырасти и развиться в растение .	никакого изменения , перенесенное в надлежащую почву , подвергнутое влиянию воздуха , света , теплоты , влажности , должно прорасти , вырасти и развиться в растение .	['Но, быть может, при этой все более и более\nсказывающейся разнородности, несоизмеримости и\nнепонятности отношения между причиной и действием\nстрадает также и создаваемая этим отношением\nнеобходимость?', 'Нисколько, ничуть.']	обнаруживая	negation	True	pres	philosophy
19	Поэтому-то знание одного только мотива недостаточно , чтобы предсказать поступок , а для этого надо еще точно знать также и характер человека .	также и характер человека .	['Но здесь\nсказывается такая значительная разница в степени,\nтакое разнообразие во взаимной комбинации и\nмодификации свойств, что моральную разницу\nхарактеров можно признать равной разнице в\nинтеллектуальных способностях, которая очень\nзначительна, а обе эти разницы несравненно\nбольшими, нежели физическая разница между великаном\nи карликом, Аполлоном и Терситом.', 'Вот почему\nдействие одного и того же мотива на разных людей\nбывает совершенно различное, подобно тому как\nсолнечный свет делает воск белым, а хлористое\nсеребро черным, или теплота размягчает воск, но\nуплотняет глину.']	знать	modals	True		philosophy
20	Вот почему в конце концов никто не может знать , как поступит кто-нибудь иной , а также и он сам в каком-либо определенном положении ; сначала надо побывать в нем , и лишь после выдержанного испытания бываем мы уверены в других , и только тогда также мы полагаемся на самих себя .	, как поступит кто-нибудь иной , а также и он сам в каком-либо определенном положении ; сначала надо побывать в нем , и лишь после выдержанного испытания бываем мы уверены в других , и только тогда также мы полагаемся на самих себя .	['Вот почему также, когда нам\nпредоставляется трудный выбор, наше собственное\nрешение, как и чужое, до тех пор остается для нас\nсамих тайной, пока этот выбор не сделан: нам\nкажется, что он падет то на ту, то на эту сторону,\nпо мере того как воля ближе знакомится через\nпосредство познания с тем либо иным мотивом и\nиспытает на себе его силу, причем и выступает на\nсцену пресловутое &#171;я могу делать то, что я\nхочу&#187;, создавая кажущуюся свободу воли.', 'Наконец, более сильный мотив захватывает власть над\nволей, и выбор часто оказывается иным, чем мы\nполагали вначале.']	знать	modals	True		philosophy
21	Пока мы их не могли понять , они не существовали для нашей воли .	, они не существовали для нашей воли .	['А познание способно к\nмногоразличнейшему расширению, к постоянному\nисправлению в безграничной степени; в этом\nнаправлении действует всякое воспитание.', 'Развитие\nразума с помощью всякого рода знаний и уразумений\nимеет то важное для морали значение, что открывает\nдоступ мотивам, которые иначе не могли бы оказать\nна нас своего действия.']	понять	negation	True		philosophy
22	Точно так же Бейль , с такой подробностью разбирающий дело , должен был знать & # 151 ; это , впрочем , и до сих пор , по-видимому , осталось незамеченным , & # 151 ; что пример этот , ставший до некоторой степени символом или типом защищаемой мною здесь великой истины , гораздо старше , чем Буридан .	& # 151 ; это , впрочем , и до сих пор , по-видимому , осталось незамеченным , & # 151 ; что пример этот , ставший до некоторой степени символом или типом защищаемой мною здесь великой истины , гораздо старше , чем Буридан .	['У меня у самого есть, очевидно,\nеще в пятнадцатом столетии напечатанное издание его\n&#171;Sophismata&#187; без указания города, года и\nбез нумерации страниц: я часто и напрасно\nразыскивал это место, хотя здесь почти на каждой\nстранице попадаются ослы в качестве примеров.', 'Бейль, статья которого &#171;Буридан&#187;\nслужит основою всего с тех пор об этом написанного,\nсовсем неверно говорит, будто известен лишь один\nсофизм Буридана: я обладаю целым томом его\nсофизмов.']	знать	modals	True		philosophy
23	Если Он их не желает , а они совершаются , значит , его надо назвать непровидящим , или немогущественным , или жестоким будучи господином своего желания , он или не знает об их совершении , или не может либо не хочет их предотвратить & # 133 ; Философы говорят если бы Бог не желал , чтобы на свете процветали прегрешения и безбожные деяния , то Он , без сомнения , одним мановением удалил бы и изгнал за пределы мира все мерзости , & # 151 ; ибо кто из нас может противиться божественной воле ?	об их совершении , или не может либо не хочет их предотвратить & # 133 ; Философы говорят если бы Бог не желал , чтобы на свете процветали прегрешения и безбожные деяния , то Он , без сомнения , одним мановением удалил бы и изгнал за пределы мира все мерзости , & # 151 ; ибо кто из нас может противиться божественной воле ?	['&#151; Ред.   \n** &#171;Если Бог желает грехов, то, стало быть,\nОн их совершает, ибо написано.', '&#171;Он сделал все,\nчто ни захотел&#187;.']	знает	negation	True	pres	philosophy
24	& # 151 ; Ред . Среди философов в более узком смысле слова Юм , если не ошибаюсь , был первый , который не захотел обойти молчанием впервые Августином выдвинутое затруднение и , не думая , однако , об Августине или Лютере , а тем более о Ванини , без обиняков излагает его в своем & # 171 ; Essay on liberty and necessity & # 187 ; * , где в конце говорится : & # 171 ; The ultimate author of all our volitions is the creator of the world , who first bestowed motion on this immense machine , and plased all beings in that particular position , whence every subsequent event , by an unevitable necessity , must result .	, однако , об Августине или Лютере , а тем более о Ванини , без обиняков излагает его в своем & # 171 ; Essay on liberty and necessity & # 187 ; * , где в конце говорится : & # 171 ; The ultimate author of all our volitions is the creator of the world , who first bestowed motion on this immense machine , and plased all beings in that particular position , whence every subsequent event , by an unevitable necessity , must result .	['*** &#171;Орудие движется так, как его\nнаправляет хозяин; но воля наша в своих действиях\nпредставляется как орудие, Бог же как главный\nдеятель, если, следовательно, она действует плохо,\nто виновен в этом Бог&#133; Воля наша не только в\nсвоих действиях, но и в своем существе зависит от\nБога, поэтому нет ничего, что можно было бы\nпоистине поставить ей в вину, ни со стороны ее\nсущности, ни со стороны ее действия, но все надо\nвменить в вину Богу, который сотворил волю такою и\nтак ею движет&#133; Так как сущность и движения\nволи зависят от Бога, то Ему же надо приписать и\nдобрые и злые деяния воли, если она выступает как\nЕго орудие&#187; (лат.).', '&#151;\nРед.   \n**** как если бы он хорошо сделал свое дело\n(шт.).']	думая	negation	False	pres	philosophy
25	Такова же та человеческая свобода , обладанием которой все хвалятся и которая состоит только в том , что люди сознают свое желание , но не знают & # 132 ; причины , коими они детерминируются & # 133 ; Этими замечаниями я , если не ошибаюсь , достаточно разъяснил мое мнение о свободной и вынужденной необходимости и о мнимой человеческой свободе & # 187 ; 52 ( лат . ) .	& # 132 ; причины , коими они детерминируются & # 133 ; Этими замечаниями я , если не ошибаюсь , достаточно разъяснил мое мнение о свободной и вынужденной необходимости и о мнимой человеческой свободе & # 187 ; 52 ( лат . ) .	['Далее, представьте себе,\nпожалуйста, что камень, продолжая свое движение,\nмыслит и сознает, что он изо всех сил стремится не\nпрекращать этого движения.', 'Этот камень, так как он\nосознает только свое собственное стремление и так\njj он отнюдь не индифферентен, будет думать, что\nон в высшей степени свободен и продолжает движение\nне по какой иной причине, кроме той, что он этого\nжелает.']	знают	negation	True	pres	philosophy
26	Он в такой же мере заслуживает этого названия , как что- нибудь в природе может быть названо причиною чего- нибудь другого & # 187 ; ; с . 84 : & # 171 ; Никогда не будет в нашей власти выбрать две разные вещи , раз все предшествующие обстоятельства вполне одинаковы & # 187 ; ; с . 90 : & # 171 ; Правда , человек , упрекая себя за какое-либо определенное действие в своем прошлом поведении , может воображать , будто , попав опять в то же самое положение , он поступил бы по-другому .	, будто , попав опять в то же самое положение , он поступил бы по-другому .	['Ибо, если исключить\nвсе, что подходит под название мотива, на\nделе не останется решительно ничего, что вело бы к\nопределению.', 'Какими бы словами мы ни\nпользовались, нам так же трудно составить себе\nпонятие, каким образом мы можем иногда\nопределяться мотивами, а иногда без всякого мотива,\nкак трудно представить себе, чтобы весы иногда\nопускались под влиянием гирь, иногда же &#151; под\nвлиянием какой-то субстанции, совсем не имеющей\nвеса, которая, чем бы она ни была сама по себе, по\nотношению к весам будет ничем&#187;; с. 66:\n&#171;На истинно философском языке мотив надлежало\nбы назвать подлинной причиною действия.']	воображать	modals	False		philosophy
27	Невежда , думающий так , никогда раньше так не думал , но в конце концов вынужден был сдаться & # 187 ; 58 ( фр . ) .	, но в конце концов вынужден был сдаться & # 187 ; 58 ( фр . ) .	['Как и сам д-р \nГартли55,\nя лишь с большой неохотой отказался от своей\nсвободы: в одной продолжительной переписке, которую\nя некогда вел по этому вопросу, я очень ревностно\nзащищал учение о свободе и совсем не сдавался на\nдоводы, какие тогда против меня\nвыставлялись&#187;.', '** &#171;Архимед одинаковым образом вынужден\nоставаться в своей комнате, когда ею там запирают и\nкогда он так сильно занят какой-то проблемой, что\nему в голову не приходит идея выйти:   \nПокорных рок ведет, влечет\nстроптивого57.']	думал	negation	False	past	philosophy
28	Эта высокая уверенность возникает просто оттого , что простаки совсем не знают , что такое представляет собою и означает свобода воли : в своей невинности они понимают под ней не что иное , как анализированную нами выше , во втором отделе , власть воли над членами тела , в которой ведь , конечно , никогда не сомневался никакой разумный человек и выражением для которой именно и служит пресловутое & # 171 ; я могу делать то , что я хочу & # 187 ; .	что простаки совсем не знают , что такое представляет собою и означает свобода воли : в своей невинности они понимают под ней не что иное , как анализированную нами выше , во втором отделе , власть воли над членами тела , в которой ведь , конечно , никогда не сомневался никакой разумный человек и выражением для которой именно и служит пресловутое & # 171 ; я могу делать то , что я хочу & # 187 ; .	['Не иначе обстоит дело с некоторыми из\nновейших немецких писак по философии: liberum\narbitrium indifferentiae, под именем\n&#171;нравственной свободы&#187;, является у них\nделом решенным, как будто все вышеуказанные великие\nлюди никогда и не были на свете.', 'Они объявляют\nсвободу воли данной в непосредственном\nсамосознании; это утверждает ее на столь\nнепоколебимом основании, что все аргументы против\nнее не могут де быть не чем иным, кроме как\nсофизмом.']	знают	negation	True	pres	philosophy
29	Напротив , всякая добытая и установленная истина & # 151 ; это завоеванный участок в области проблем знания вообще и прочный опорный пункт для приложения рычагов , которые приведут в движение другие тяжести : мы можем даже в благоприятных случаях разом вознестись с этого пункта до более высокого взгляда на целое , чем мы имели до сих пор . Ибо во всяком отделе знания сцепление истин настолько велико , что кто вполне надежно овладел только одной из них , тот во всяком случае может надеяться покорить с ее помощью всю область .	покорить с ее помощью всю область .	['* от невозможности к недействительности\n(лат.).', '&#151; Ред.   \n\nВсе наши метафизические сведения все-таки,\nконечно, еще, как небо от земли, далеки от такой\nдостоверности, чтобы надлежало отвергать какую-либо\nосновательно доказанную истину по той причине, что\nее выводы с ними не согласуются.']	надеяться	modals	False		philosophy
30	Вот на чем , а не на воображаемом libero arbitrio indifferentiae основывается сознание ответственности и моральная тенденция жизни .	libero arbitrio indifferentiae основывается сознание ответственности и моральная тенденция жизни .	['Коренной ошибкой, hysteron\nproteron* всех времен было приписывать\nнеобходимость &#171;esse&#187;, а свободу &#151;\n&#171;operari&#187;.', 'Наоборот, только в\n&#171;esse&#187; содержится свобода, но из\nэтого &#171;esse&#187; и мотивов\n&#171;operari&#187; получается с необходимостью, и\nпо тому, что мы делаем, мы познаем, что мы\nтакое.']	воображаемом	negation	False	pres	philosophy
31	В общем , следовательно , совершенными при отсутствии интеллектуальной свободы надо считать все те преступления , при которых человек или не знал , что он делал , или , по крайней мере , не был способен принять в расчет то , что должно было бы удержать его от данного действия , именно & # 151 ; его последствия .	что он делал , или , по крайней мере , не был способен принять в расчет то , что должно было бы удержать его от данного действия , именно & # 151 ; его последствия .	['Об этой интеллектуальной свободе, to ecoysion\ncai acoysion cata dianoian**, говорит уже, хотя\nочень кратко и недостаточно, Аристотель в\n&#171;Ethica Eudemia&#187;, II, гл. 7и 9, и\nнесколько подробнее в &#171;Ethica ad\nNicomachum&#187;, III, гл. 2.', 'Она же имеется в\nвиду, когда medicina forensis*** и уголовная\nюстиция спрашивают, находился ли преступник в\nсостоянии свободы и, следовательно,\nвменяемости.']	знал	negation	True	past	philosophy
